can,可以
memorandum,备忘录
Air pollution,空气污染
Repressed,压抑
Democratic Republic of the Congo,刚果民主共和国
steak,牛排
Suit,西装
Self-esteem,自尊
Petrochemical,石化
Edmund Ho,何厚铧
Logo,标识
Previously,此前
Forge,伪造
Three,三家
famous,有名
Been there,去过
waste,废物
bad thing,坏事
Cambridge,剑桥
connection,联络
Water flow,水流
Fox,福克斯
last Friday,上周五
Cole,科尔
gesture,手势
Security,保安
Delay,延误
carnival,狂欢
alcoholism,酗酒
M & A,并购
Victims,灾民
Hire,聘用
Sarah,萨拉
care,在乎
millennium,千年
Post,帖子
soil,泥土
Conservative,保守
onion,洋葱
jury,陪审团
unusual,不同寻常
Ranked first,排名第
end,结尾
Shandong,山东
Mouth,口中
Withstand,经受
Second half,下半年
reply,答复
String,字符串
Anniversary,纪念日
wreckage,残骸
imagine,想像
Tencent,腾讯
Once arrived,一到
Superman,超人
close,亲密
dining table,餐桌
partner,搭档
relatives,亲属
WHO,世卫
Battle,战役
price,价钱
Northwest,西北部
Wright,莱特
Wife,老婆
radio,收音机
care,在意
Convention,公约
Taxation,税务
mobilization,动员
diarrhea,腹泻
collect,搜集
militia,民兵
Turn around,转身
livestock,牲畜
Cabinet meeting,内阁会议
Client,客户端
Third party,第三方
exhausted,疲惫
indifferent,冷漠
Del,德尔
carriage,马车
as follows,如下
Producing countries,生产国
mileage,里程
Smash,粉碎
signature,签字
Layoffs,裁员
Kevin,凯文
kind,亲切
similar,相近
Facebook,脸谱
lasting,持久
Nice,尼斯
airflow,气流
Hydropower,水电
Stagnation,停滞
ruling party,执政党
Calculation method,计算方法
Allies,盟国
Historian,历史学家
headed by,为首
Prisoners,犯人
privilege,特权
Fallen,堕落
Fun,好玩
Agent,特工
view,景色
PARKING LOT,停车场
Industry,业内
referee,裁判
Meal,用餐
magma,岩浆
Work together,携手
manor,庄园
Change to,改为
dementia,痴呆
protected area,保护区
Host,主机
Namibia,纳米比亚
Metickel,梅蒂卡尔
Competition,角逐
vote,表决
Ill,患病
car,轿车
Not easy,不易
Most popular,最受
initiative,倡议
follow,跟随
Died,身亡
British Prime Minister,英国首相
Sex,性爱
coup,政变
Will be,会为
Do not go,不去
defend,保卫
smuggling,走私
Take office,就任
concise,简洁
Body,机体
Chavez,查韦斯
distressed,苦恼
Cook,做饭
Off,脱落
temper,脾气
Above,上方
forward,前锋
Dehydration,脱水
cowboy,牛仔
luster,光泽
larva,幼虫
Sent,打发
Employer,用人单位
Ministry of Foreign Trade,外贸部
Scene,一幕
March,三月
Seductive,诱人
upsurge,热潮
cater,迎合
rich,丰厚
almost,差不多
Mountain,山上
devil,魔鬼
Where you are,所处
Audio,音频
News report,新闻报道
Dodge,躲避
Years,年里
Car,车上
Beside,身旁
hearing,听力
care,关怀
mailbox,邮箱
Santa Claus,圣诞老人
Willingly,情愿
Nails,指甲
Medium,培养基
starting point,起点
eternal,永恒
mutation,突变
applicant,申请人
unit,机组
colony,殖民地
Tree branches,树枝
color,肤色
high quality,高质量
A pair,一对
absurd,荒谬
Essence,精华
The key is,关键在于
applause,掌声
Friendship,友情
Chinese character,汉字
Chet,切特
Mediterranean,地中海
This person,此人
extremist,极端分子
Central Africa,中非
guess,猜想
electronic product,电子产品
As shown,所示
handle,把手
deadlock,僵局
One,一个
Center of gravity,重心
Phil,菲尔
breath,气息
Blood flow,血流
galaxy,星系
Nanjing,南京
Focus on,着眼于
Shop,店铺
not give a damn about,不在乎
out of control,失控
bona fide,善意
Baker,贝克
essential,必不可少
Change into,换成
touch,触摸
All over,遍布
Bachelor's degree,学士学位
One,一艘
Situation,情境
Policy makers,决策者
renewable energy,再生能源
bright,光明
Community,群落
global,环球
deck,甲板
hunter,猎人
tomato,番茄
clay,粘土
Zombie,僵尸
load,加载
Full,布满
Meet,相遇
All people,全民
tiger,老虎
Technical staff,技术人员
follow,追随
Stephen,史蒂芬
jump,跳跃
Lost,丢掉
average value,平均值
Belong to,所属
three times,三倍
Suffer,饱受
speaker,议长
European,欧洲人
most,多数
Double,一倍
applicant,申请者
physicist,物理学家
rumor,传闻
challenge,挑战性
medical insurance,医疗保险
begins at,起源于
on Sunday,星期日
Look after,照看
Several,几家
forestry,林业
princess,王妃
Thought,想过
step,一步
theft,盗窃
support,支援
fruit juice,果汁
Record,记载
Science & Technology,科学技术
disturb,打扰
living room,客厅
beam,光束
check,支票
Christmas tree,圣诞树
childbirth,分娩
Gunners,枪手
Cherish,珍惜
Increase,增高
traditional Chinese medicine,中药
rain,下雨
Sunnis,逊尼派
prior to,之前
Sold,售出
Added,新增
Minister,大臣
approximate,近似
Stanford University,斯坦福大学
No intention,无意
discharge,排出
Raise,筹集
service,服役
Amendment,修正案
elderly,老年
one day,一天
In front of,门前
beautiful,美的
Credible,可信
change into,转变成
Efficient,高效
Lung,肺部
Madrid,马德里
Chevron,雪佛龙
Ruined,毁掉
Plate,板块
dispute,争执
Like,犹如
Central government,中央政府
Kurdish,库尔德
Breast cancer,乳腺癌
host,主办
headset,耳机
Peak,山顶
deep,深处
Sewage,污水
measure,度量
Degenerate,变质
Santos,桑托斯
Goals,进球
Antioxidants,抗氧化剂
intuition,直觉
Trade deficit,贸易逆差
Neural Networks,神经网络
Deposits,矿床
Best-selling,畅销
withdraw,撤回
Jonathan,乔纳森
Travel,出行
with pleasure,荣幸
Market capitalization,市值
Surface,地表
tedious,乏味
considerable,可观
Passing,推移
Inclusive,包容
Kes,克斯
Twenty years,二十年
stroll,漫步
Behind the scenes,幕后
The book,该书
northeast,东北
Confidentiality,保密
Time and space,时空
astronomer,天文学家
Lead,率领
area,地域
First-line,一线
excess,过剩
globalization,国际化
middle Ages,中世纪
powder,粉末
Commanded,吩咐
purpose,宗旨
Weak,疲软
Listen,听听
conscious,自觉
Donate,捐助
Let you in,让你在
In the eyes,眼里
body temperature,体温
Cyprus,塞浦路斯
Assailants,袭击者
butt,屁股
Cluster,集群
late at night,深夜
pavement,路面
closely related,密切相关
orientation,取向
default,默认
Also said,还称
gel,凝胶
style,样式
Manager,经理人
Processing plant,加工厂
Cook,库克
monitor,显示器
Effective,成效
valley,山谷
oppression,压迫
shelter,庇护
Origin,出身
less than,少于
Hearing,听觉
developed,发达
Mid,中旬
Do business,做生意
topic,题目
Algeria,阿尔及利亚
After the war,战后
Intestinal,肠道
Can,所能
No,不得
contacts,往来
boxing,拳击
Amazing,厉害
Join,加盟
restraint,克制
surf,冲浪
prototype,原型
mask,面具
Cable TV,有线电视
sperm,精子
Zhejiang,浙江
dilution,稀释
Construction,承建
Body,身子
biological clock,生物钟
Panda,大熊猫
Click,单击
Workpiece,工件
Breeding,养殖
pillow,枕头
Expected,预料
Latin America,拉丁美洲
guitar,吉他
Critics,批评者
Not far,不远
Analysis,分析法
altitude,海拔
Constructed,建构
Control,操控
after,以后
Honda,本田
obey,听从
Mountains,山脉
Johannesburg,约翰内斯堡
Raise,加薪
Arizona,亚利桑那州
dialect,方言
Undergraduate,本科
flesh,肉体
Water,用水
Scott,斯科特
lease,租赁
Enter,进军
fare,票价
staff,职工
Childhood,小时候
Julie,朱莉
defeat,挫败
Remotely,远程
quantum,量子
Diplomatic relations,外交关系
argue,争辩
stable,安定
Lost,迷失
Iceland,冰岛
Electrical appliances,电器
change,变迁
continue,继续下去
This one,这条
semester,学期
Attractions,景点
Posing,摆在
Home page,主页
leader,首领
southwest,西南
Sculpture,雕刻
Virginia,维吉尼亚
Direct investment,直接投资
bag,袋子
Valentine's Day,情人节
personnel,人事
Foresight,预见
Back,背上
Theo,西奥
laughter,笑声
Nuclear facilities,核设施
foundation,地基
"Taiwan, China",中国台湾
smear,涂抹
Iteration,迭代
Thread,线程
build,兴建
So to speak,如是说
Come on,加油
Addicted,上瘾
schedule,日程
subscription,订阅
Questionnaire,问卷
Seattle,西雅图
Cameron,卡梅隆
One,一颗
assembly,装配
microscope,显微镜
Head,头顶
Clarke,克拉克
keep in touch,保持联系
Laura,劳拉
Destructive,破坏性
simple,单纯
prophet,先知
Trapped,被困
Public health,公共卫生
Railway,铁路线
contract,契约
Example sentences,例句
Limitations,局限
Global Finance,全球金融
tough,强硬
wood,木头
hell,地狱
End,尽头
Fascinated,着迷
dessert,甜点
News Agency,新闻社
Footprint,足迹
drive,驾车
Conception,构想
Annual income,年收入
Disorder,失调
announcement,公告
field,野外
nature,本性
Bathing,沐浴
Love,爱心
alarm,警报
maintenance,保养
peer,同龄人
Adaptability,适应性
Tsinghua University,清华大学
coat,上衣
coating,涂层
Load,荷载
grandson,孙子
among,当中
bad,恶劣
Beckham,贝克汉姆
peak,顶峰
Expression,表述
Nazi,纳粹
perfume,香水
gear,齿轮
turmoil,动乱
eve,前夕
Buddhism,佛教
The state,该州
Audiences,观众们
concert,音乐会
As usual,往常
Synergy,协同
Escape,逃跑
Ministry of Tourism,旅游部
Make mistakes,犯错
situation,事态
Decoration,装修
In place,到位
Sydney,悉尼
best seller,畅销书
Something,某件事
Incidence,发病率
Polling station,投票站
Homeless,无家可归
Invaded,侵入
notebook,笔记本
Right and wrong,是非
Talent,才华
Lane,车道
shock,震动
At home,在家
Earlier this year,今年年初
action plan,行动计划
villa,别墅
Get acquainted,结识
diving,潜水
Swallow,吞噬
congratulate,祝贺
Bus,巴士
seaside,海滨
Myanmar government,缅甸政府
Summit,首脑会议
Awe,敬畏
Mucus,粘液
Composites,复合材料
Titanic,泰坦尼克号
World Expo,世博会
Billionaire,亿万富翁
anonymous,匿名
Displacement,流离失所
foreign trade,外贸
Let,就让
Wharton,沃顿
Electronic equipment,电子设备
High price,高价
rent,出租
Irritated,激怒
opposite,对面
Since then,从那时起
State-owned enterprises,国有企业
perfusion,灌注
People have,人有
Antarctic,南极
Freight,货运
Corner,一角
Ruling,裁定
number,号码
pigment,色素
Down,下调
Never,绝不会
This sum,这笔
Benefit,获益
fighter,战斗机
settle down,定居
Match,相符
Dishes,菜肴
Stephen,斯蒂芬
stay,留下来
Dedication,奉献
Botswana,博茨瓦纳
Limbs,四肢
Both sides,两侧
set off,掀起
Satisfaction,满意度
Hold talks,举行会谈
Portrayed,刻画
declare,申报
desktop,桌面
Hypnosis,催眠
Senior year,大四
original,原文
Manica,马尼卡
Rose to,升至
Sensory,感官
Came,传来
marketing,市场营销
Decades,数十年
Appearance,露面
Strong,强势
convene,召集
Davis,戴维斯
Anthony,安东尼
tank,坦克
To spend,要花
House,屋子里
Chain stores,连锁店
Very strong,很强
grandfather,爷爷
riot,骚乱
dictator,独裁者
supply chain,供应链
Broadcasting company,广播公司
physics,物理学
vacancy,空缺
Checked,选中
notes,笔记
pornography,色情
Saul,索尔
Mind,脑海
Goodbye,再见
Lawrence,劳伦斯
Hormones,荷尔蒙
swimming pool,游泳池
The United States,美方
sociology,社会学
abortion,流产
Asia-Pacific,亚太地区
Southeast,东南部
Ministry of Defense,国防部
dolphin,海豚
collapse,倒塌
side effect,副作用
African continent,非洲大陆
Context,语境
temperament,气质
Malan,马兰
Costa,科斯塔
Clogged,堵塞
Body type,体型
picnic,野餐
Moustache,胡子
Fungus,真菌
Autism,自闭症
Accountant,会计师
Humanities,人文
external debt,外债
Think about it,想一想
Group companies,集团公司
When said,时称
Feasibility study,可行性研究
Infringement,侵害
Cortex,皮层
Unique,特有
Shocking,令人震惊
What you did,所作所为
Fraud,诈骗
philosopher,哲学家
Venture Capital,风险投资
Redeployment,调动
Misleading,误导
Oxford university,牛津大学
Both sides,两边
epidermis,表皮
ridiculous,可笑
Light,光芒
Midwest,中西部
Sexual behavior,性行为
Harry wave,哈利波
Miami,迈阿密
To,地为
isotope,同位素
Remove,去掉
Scientific research,科学研究
sorrow,悲哀
Claim,索赔
doubt,疑虑
silt,淤泥
abbreviation,缩写
imaginary,虚构
Keep up,跟上
Do your best,竭尽全力
Participate,参赛
Audit,审核
That one,那条
banknote,钞票
severe,严峻
Visit,出访
Early warning,预警
Yearning,向往
baby,宝贝
Operators,经营者
transsexual,变性
Donor countries,捐助国
sculpture,雕塑
towel,毛巾
insult,侮辱
Coalition government,联合政府
peaceful,宁静
French,法国人
Showing,展现出
vegetation,植被
Dependency,依赖性
Cow,奶牛
boiler,锅炉
gradient,梯度
balcony,阳台
reduction,还原
Dos Santos,多斯桑托斯
Out the window,窗外
member,构件
Phillip,菲利普
Men,手下
Killed,遇难
low cost,低成本
Massachusetts,马萨诸塞州
Decline,衰落
Take away,拿走
easy,轻而易举
free trade,自由贸易
same,同一
Oath,宣誓
mouth,嘴巴
Optimal,最优
Detained,关押
football,橄榄球
Rule of law,法治
family member,家庭成员
demon,恶魔
Census Bureau,普查局
Indians,印第安人
North-South,南北
Rated as,评为
One side,一侧
Painting,画作
bleed,流血
Reinforced,钢筋
Before and after,前后
glacier,冰川
recession,不景气
detector,探测器
Front,前方
Foot,脚下
Greetings,问候
Promotion,升职
Foreign exchange,外汇
Help,求助
Malnutrition,营养不良
Beaten,殴打
pollen,花粉
Chengdu,成都
pessimistic,悲观
polymer,聚合物
Lead to,通向
subconscious,潜意识
Sign up,报名
toe,脚趾
overweight,超重
Between,介于
blood sugar,血糖
The port,该港
catalytic,催化
Sith,西斯
Rate is,率为
induction,归纳
The area,该区
index,索引
Kibaki,齐贝吉
Hoarding,囤积
Escape,逃脱
Pressure,施压
casualties,伤亡
University of California,加州大学
Resigned,辞去
Atlanta,亚特兰大
Tony,托尼
discuss,商讨
adoption,收养
northwest,西北
Hydraulic,水力
Strawberry,草莓
Nearby,邻近
location,所在地
precious,珍贵
Poisoning,中毒
irrigation,灌溉
Athens,雅典
bad news,坏消息
Limited to,限于
Billions of dollars,数十亿美元
Kerr,克尔
postal,邮政
clarify,澄清
Alienated,疏远
Protest,抗争
up and down,上下
Bottom line,底线
Lucy,露西
Marx,马克思
Torah,托拉
Empirical,实证
Warned,告诫
queue,队列
Mitt,米特
mysterious,神秘
Reproduce,再现
singing,歌唱
Reunion,团聚
Call the police,报警
carrot,胡萝卜
Head office,总行
Guangxi,广西
Converted into,转换成
message,讯息
rent,房租
realm,境界
Overview,概述
alone,孤单
export country,出口国
Boolean,布尔
at night,夜里
Confucius,孔子
Make,制订
blood type,血型
People's Republic of China,中华人民共和国
grid,网格
Purification,净化
Strain,菌株
Lymph nodes,淋巴结
Popular,盛行
Reputation,信誉
Alice,爱丽丝
poster,海报
Through,贯穿
Personal information,个人信息
law enforcement,执法
Reference,参照
hand over,交出
Sibs,同胞
Commissioner,专员
Verification,核查
Students,学员
American company,美国公司
Care,照料
locking,锁定
Walk around,走动
State University,州立大学
Open out,开出
Wind power,风力
surface layer,表层
boy,男孩子
Colonel,上校
Relations between the two countries,两国关系
Seven years,七年
maximize,最大化
Reagan,里根
Migration,迁徙
Duke,公爵
Young man,小伙子
stadium,体育馆
end,终点
cabin,小屋
headache,头疼
Wales,威尔士
account number,账号
PR,公关
sound,健全
Cartoon,卡通
extrusion,挤压
chopsticks,筷子
hire,聘请
gem,宝石
Defender,后卫
Beast,野兽
Set at,定于
barbecue,烧烤
Bright,布莱特
Midfielder,中场
Sheets,床单
Holding company,控股公司
activation,活化
Xinjiang,新疆
locomotive,机车
Solvent,溶剂
Casting,铸造
Insisted,坚称
Research,调研
Peacekeeping forces,维和部队
pioneer,先锋
One trillion dollars,万亿美元
creed,信条
The article,该文
Morris,莫里斯
West Bank of Jordan,约旦河西岸
Thirty years,三十年
Average,平均水平
apartheid,种族隔离
famous,知名
Valuation,估值
truck,货车
Block,阻挡
Supplies,用品
cucumber,黄瓜
World,天下
Rebellion,叛乱
space station,空间站
Ambition,野心
programmer,程序员
puberty,青春期
halfway,中途
about,左右
Can be called,堪称
millionaire,百万富翁
Otherwise,另有
stretch,伸展
according to,根据
Cultivation,栽培
Retrieve,检索
Pregnant,怀着
Meaningless,毫无意义
Vomit,呕吐
Indispensable,不可或缺
parallel,并行
Potential,潜能
chin,下巴
do not forget,别忘了
bladder,膀胱
Disadvantages,弊端
defamation,诽谤
right,右边
arouse,唤起
touch,触及
Rice said,赖斯说
metaphor,隐喻
graphite,石墨
Cooperation projects,合作项目
Alec,亚历克
Sinopec,中石化
Extract,提取物
Site,位点
Create,造就
Soaring,高涨
Doomed,注定
A batch,一批
Persuasive,说服力
per month,每月
Heaven,天上
Shelve,搁置
Relief,减免
Give it back,还给
lemon,柠檬
Face,脸部
Rapid growth,快速增长
Experience,经验丰富
Get it,拿来
One hundred million people,亿人
Intention,意在
make friends,交友
Biased,偏向
defensive,防卫
Senegal,塞内加尔
Wet,潮湿
remains,遗体
Participants,与会者
Restart,重启
Niah,尼亚
World Food Program,世界粮食计划署
soft,柔和
Write down,记下
Judges,评委
The bottom,底层
Drive,驱使
Mortgage,按揭
evaporation,蒸发
negative,阴性
noodles,面条
Two categories,两类
reason,缘故
Visit China,访华
Mountain,山地
swelling,肿胀
Kelly,凯利
Katie,凯蒂
Law,律法
Inflated,充气
There is significant,有显
Reservoir,水库
Tianjin,天津
Font,字体
Pete,皮特
Gomez,戈麦斯
College entrance examination,高考
Significance,显着性
forest,树林
Enjoy the year,享年
fall into,落入
African Union,非洲联盟
Handheld,手持
infer,推断
Law school,法学院
summit,首脑
As a,出任
reasoning,推理
preference,偏爱
Resolution,分辨率
telephone number,电话号码
Wording,措辞
Two,两项
composer,作曲家
seaside,海边
Buttocks,臀部
Sensitivity,敏感性
baptism,洗礼
Indian government,印度政府
think about it,考虑一下
Pointed,指着
Exxon,埃克森
pillar,支柱
rumor,谣言
twin,双胞胎
negligible,微不足道
Number of votes,票数
law,定律
buffer,缓冲
Satisfactory,令人满意
Stationed,驻扎
nuclear reactor,核反应堆
medical insurance,医疗保健
pesticide,农药
Reform and Opening,改革开放
envy,羡慕
granite,花岗岩
beginning,开端
marrow,骨髓
Copy,副本
leather,皮革
Social Security,社会保障
100 million yuan,亿元
grandmother,奶奶
groundwater,地下水
University graduate,大学毕业
Three people,三人
radiation,放射
legitimate,合法
One,一根
Tone,口气
ambition,抱负
Exhausted,耗尽
the Middle East,中东地区
Respect,敬意
Drive away,赶走
Growing,日益增长
Superstar,巨星
Late,晚期
HIV,艾滋病毒
Give a,举个
the day before,前一天
accuracy,准确性
Studying,攻读
Of course,理所当然
vacuum,真空
Gym,健身房
Mosquito,蚊子
car,车厢
Kuomintang,国民党
Work,打工
Bernanke,伯南克
whale,鲸鱼
Surprisingly,出人意料
meticulous,细致
The point,地步
Boarding,寄宿
Sri Lanka,斯里兰卡
product quality,产品质量
Field,菲尔德
family planning,计划生育
Security,安全感
Open,开着
Coke,可乐
Key words,关键词
jungle,丛林
camp,阵营
murderer,凶手
dawn,黎明
Business trip,出差
glucose,葡萄糖
Bale,打包
Follow-up,随访
Make a,打个
Out,抽出
Contaminants,污染物
he believe,他信
Blind date,相亲
Yao Ming,姚明
Load,载荷
Ladies,女士们
Neil,尼尔
left,左边
Benefit from,得益于
bottleneck,瓶颈
Alumni,校友
In the place,中所
smokes,抽烟
Tactics,战术
swamp,沼泽
Sounded,响起
Father,神父
Keep it,保住
Weeds,杂草
Business,经商
Kind of,有种
pasture,牧场
disturb,扰乱
weekly,周刊
Thorny,棘手
Private Sector,私营部门
eager,急于
diploma,文凭
Guest,嘉宾
embassy,使馆
waste time,浪费时间
icon,图标
Toronto,多伦多
Grants,补助
Religious beliefs,宗教信仰
balanced,均衡
Brain,脑子里
appearance,模样
End of the year,年末
positive,正面
stainless steel,不锈钢
modified,改性
function,机能
GAS,加油站
Watch,观赏
camouflage,伪装
gentleman,绅士
Explain,阐释
cornea,角膜
curiosity,好奇心
fingerprint,指纹
Fundamental,基本原理
limitation,局限性
Children,患儿
Total investment,投资总额
Macao SAR,澳门特区
